Date,Description,Withdrawals,Deposits,Balance,Account Type
2025-01-03,Netflix.com,6.77,0.0,,Chequing
2025-01-10,TCDSB Paycheck,0.0,1265.58,,Chequing
2025-01-10,Canada Works Benefit (CWB),0.0,126.94,,Chequing
2025-01-24,TCDSB Paycheck,0.0,1722.43,,Chequing
2025-01-31,Name.com,25.34,0.0,,Chequing
2025-02-03,Netflix.com,6.77,0.0,,Chequing
2025-02-07,TCDSB Paycheck,0.0,1861.98,,Chequing
2025-02-21,TCDSB Paycheck,0.0,1496.05,,Chequing
2025-02-28,Spotify,14.34,0.0,,Chequing
2025-03-07,TCDSB Paycheck,0.0,910.74,,Chequing
2025-03-10,Tax Refund RIT,0.0,5259.77,,Chequing
2025-03-21,TCDSB Paycheck,0.0,2033.29,,Chequing
2025-03-31,Spotify,14.34,0.0,,Chequing
2025-04-04,TCDSB Paycheck,0.0,1393.6,,Chequing
2025-04-17,TCDSB Paycheck,0.0,1831.36,,Chequing
2025-04-22,Canada Carbon Rebate,0.0,302.0,,Chequing
2025-04-30,Spotify,14.34,0.0,,Chequing
2025-05-02,TCDSB Paycheck,0.0,1638.6,,Chequing
2025-05-16,TCDSB Paycheck,0.0,1818.98,,Chequing
2025-05-30,TCDSB Paycheck,0.0,2033.29,,Chequing
2025-05-30,Spotify,14.34,0.0,,Chequing
2025-06-13,TCDSB Paycheck,0.0,1861.98,,Chequing
2025-06-27,TCDSB Paycheck,0.0,2033.29,,Chequing
2025-06-30,Spotify,14.34,0.0,,Chequing
2025-07-11,TCDSB Paycheck,0.0,2033.29,,Chequing
2025-07-25,TCDSB Paycheck,0.0,1837.88,,Chequing
2025-07-31,Spotify,14.34,0.0,,Chequing
2025-08-08,TCDSB Paycheck,0.0,1837.88,,Chequing
2025-08-22,TCDSB Paycheck,0.0,1837.88,,Chequing
