01/03/2025,PRESTO AUTL TORONTO,20.0,0,6805.94
01/05/2025,UBER CANADA/UBERTRIP TORONTO,14.25,0,6820.19
01/08/2025,TAGPUAN NORTH YORK,42.18,0,6862.37
02/04/2025,PRESTO AUTL TORONTO,20.0,0,6882.37
02/06/2025,HEROKU* JAN-XXXX,35.4,0,6917.77
02/10/2025,PAYMENT - THANK YOU,0,200.0,6717.77
03/02/2025,TIM HORTONS TORONTO,5.74,0,6723.51
03/05/2025,SHOPPERS DRUG MART SCARBOROUGH,27.3,0,6750.81
03/07/2025,PAYMENT - THANK YOU,0,300.0,6450.81
04/03/2025,PRESTO AUTL TORONTO,20.0,0,6470.81
04/05/2025,TAGPUAN NORTH YORK,36.5,0,6507.31
04/07/2025,PAYMENT - THANK YOU,0,400.0,6107.31
05/03/2025,WAL-MART SUPERCENTER,102.76,0,6210.07
05/06/2025,HEROKU* APR-XXXX,37.21,0,6247.28
06/01/2025,NOFRILLS SCARBOROUGH,89.41,0,6336.69
06/04/2025,PAYMENT - THANK YOU,0,250.0,6086.69
07/02/2025,UBER TRIP TORONTO,16.29,0,6102.98
07/04/2025,TAGPUAN NORTH YORK,28.45,0,6131.43
08/02/2025,TIM HORTONS TORONTO,4.89,0,6136.32
08/05/2025,PRESTO AUTL TORONTO,20.0,0,6156.32
08/06/2025,HEROKU* JUL-XXXX,36.7,0,6193.02
08/06/2025,Amazon.ca Prime Member,11.29,0,6204.31
08/07/2025,HEROKU* JUL-106768531,26.84,0,6231.15
08/08/2025,PAYMENT - THANK YOU,0,300.0,5931.15
